Round ID,Date,Course,Tee,Total Score,Hole 1,Hole 2,Hole 3,Hole 4,Hole 5,Hole 6,Hole 7,Hole 8,Hole 9,Hole 10,Hole 11,Hole 12,Hole 13,Hole 14,Hole 15,Hole 16,Hole 17,Hole 18,Holes Recorded,Sum of Holes,Total vs Hole-Sum Diff
56,2025-05-24,CCC,Pre April 26 - Yellow,88,3.0,4.0,4.0,3.0,7.0,5.0,5.0,5.0,5.0,4.0,2.0,5.0,6.0,6.0,4.0,6.0,7.0,7.0,18,88.0,0.0
57,2025-05-25,CCC,Pre April 26 - Yellow,91,,,,,,,,,,,,,,,,,,,0,,
58,2025-05-30,CCC,Pre April 26 - Yellow,97,4.0,5.0,6.0,6.0,7.0,6.0,5.0,4.0,7.0,4.0,4.0,3.0,7.0,6.0,4.0,7.0,6.0,6.0,18,97.0,0.0
59,2025-06-06,CCC,White,93,,,,,,,,,,,,,,,,,,,0,,
60,2025-06-07,CCC,White,97,,,,,,,,,,,,,,,,,,,0,,
61,2025-06-20,St Neots,White,86,5.0,5.0,4.0,4.0,8.0,7.0,6.0,3.0,4.0,5.0,5.0,6.0,3.0,5.0,4.0,3.0,4.0,5.0,18,86.0,0.0
62,2025-06-21,CCC,White,100,,,,,,,,,,,,,,,,,,,0,,
63,2025-06-22,CCC,White,103,3.0,5.0,8.0,5.0,4.0,6.0,4.0,5.0,4.0,5.0,5.0,10.0,7.0,8.0,5.0,7.0,6.0,6.0,18,103.0,0.0
64,2025-06-27,CCC,White,94,6.0,6.0,5.0,3.0,6.0,7.0,5.0,4.0,5.0,6.0,3.0,6.0,4.0,9.0,3.0,6.0,4.0,5.0,18,93.0,1.0
65,2025-06-28,CCC,Pre April 26 - Yellow,90,3.0,6.0,6.0,6.0,6.0,6.0,7.0,4.0,4.0,3.0,2.0,4.0,6.0,5.0,4.0,5.0,8.0,5.0,18,90.0,0.0
66,2025-06-29,CCC,White,99,,,,,,,,,,,,,,,,,,,0,,
67,2025-07-03,Brocket Hall - Melbourne,Yellow,95,4.0,4.0,5.0,7.0,6.0,4.0,6.0,8.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,6.0,6.0,7.0,18,95.0,0.0
68,2025-07-04,CCC,Pre April 26 - Yellow,94,4.0,5.0,5.0,5.0,5.0,6.0,4.0,7.0,5.0,5.0,3.0,6.0,8.0,5.0,6.0,5.0,5.0,5.0,18,94.0,0.0
69,2025-07-07,John O'Gaunt,White,90,,,,,,,,,,,,,,,,,,,0,,
70,2025-07-13,St Neots,Yellow,95,,,,,,,,,,,,,,,,,,,0,,
71,2025-07-18,CCC,White,92,,,,,,,,,,,,,,,,,,,0,,
72,2025-07-19,CCC,White,93,5.0,4.0,5.0,4.0,8.0,6.0,5.0,5.0,3.0,6.0,4.0,4.0,8.0,5.0,4.0,6.0,6.0,5.0,18,93.0,0.0
73,2025-07-20,CCC,White,89,,,,,,,,,,,,,,,,,,,0,,
74,2025-07-25,Girton,Yellow,83,,,,,,,,,,,,,,,,,,,0,,
75,2025-08-01,St Neots,White,97,4.0,5.0,5.0,4.0,5.0,7.0,5.0,5.0,5.0,4.0,6.0,5.0,6.0,7.0,7.0,5.0,6.0,5.0,18,96.0,1.0
76,2025-08-02,CCC,White,95,,,,,,,,,,,,,,,,,,,0,,
77,2025-08-07,Chesfield Downs,Yellow,87,,,,,,,,,,,,,,,,,,,0,,
78,2025-08-08,CCC,White,91,,,,,,,,,,,,,,,,,,,0,,
79,2025-08-10,St Neots,White,94,6.0,5.0,4.0,6.0,4.0,4.0,7.0,5.0,7.0,5.0,5.0,4.0,5.0,7.0,6.0,4.0,5.0,5.0,18,94.0,0.0
80,2025-08-15,St Neots,Yellow,94,,,,,,,,,,,,,,,,,,,0,,
81,2025-08-17,CCC,White,85,4.0,4.0,7.0,3.0,6.0,4.0,6.0,5.0,4.0,6.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,18,85.0,0.0
82,2025-08-23,CCC,White,97,,,,,,,,,,,,,,,,,,,0,,
83,2025-08-25,CCC,White,96,,,,,,,,,,,,,,,,,,,0,,
84,2025-08-29,Heythrop Park,Yellow,94,4.0,5.0,4.0,6.0,5.0,6.0,3.0,8.0,4.0,8.0,9.0,5.0,5.0,6.0,3.0,4.0,7.0,5.0,18,97.0,-3.0
85,2025-09-06,CCC,White,94,,,,,,,,,,,,,,,,,,,0,,
86,2025-09-07,CCC,White,101,,,,,,,,,,,,,,,,,,,0,,
87,2025-09-20,CCC,Pre April 26 - Yellow,92,3.0,3.0,6.0,4.0,8.0,7.0,5.0,5.0,3.0,5.0,2.0,5.0,7.0,5.0,4.0,7.0,8.0,6.0,18,93.0,-1.0
88,2025-09-21,CCC,Pre April 26 - Yellow,96,,,,,,,,,,,,,,,,,,,0,,
89,2025-09-27,CCC,White,96,,,,,,,,,,,,,,,,,,,0,,
90,2025-09-28,St Neots,Yellow,92,,,,,,,,,,,,,,,,,,,0,,
91,2025-10-03,St Neots,Yellow,91,,,,,,,,,,,,,,,,,,,0,,
92,2025-10-05,St Neots,Yellow,90,,,,,,,,,,,,,,,,,,,0,,
93,2025-10-12,CCC,Pre April 26 - Yellow,94,,,,,,,,,,,,,,,,,,,0,,
94,2025-10-26,CCC,Pre April 26 - Yellow,95,3.0,,7.0,5.0,6.0,7.0,4.0,5.0,6.0,5.0,4.0,4.0,7.0,5.0,3.0,6.0,8.0,4.0,17,89.0,6.0
95,2025-11-01,CCC,Pre April 26 - Yellow,87,3.0,4.0,6.0,4.0,7.0,6.0,4.0,3.0,4.0,4.0,5.0,5.0,7.0,6.0,4.0,5.0,5.0,5.0,18,87.0,0.0
96,2025-11-08,CCC,Pre April 26 - Yellow,85,3.0,5.0,6.0,4.0,5.0,5.0,4.0,4.0,5.0,7.0,3.0,5.0,5.0,4.0,3.0,5.0,6.0,6.0,18,85.0,0.0
97,2025-11-09,CCC,Pre April 26 - Yellow,84,3.0,4.0,5.0,3.0,6.0,6.0,4.0,5.0,4.0,4.0,3.0,5.0,6.0,5.0,3.0,6.0,8.0,5.0,18,85.0,-1.0
98,2025-11-22,CCC,White,101,5.0,4.0,7.0,4.0,6.0,7.0,6.0,5.0,4.0,8.0,4.0,5.0,5.0,8.0,5.0,7.0,7.0,6.0,18,103.0,-2.0
99,2025-11-29,CCC,Pre April 26 - Yellow,93,3.0,5.0,8.0,4.0,8.0,5.0,4.0,4.0,7.0,6.0,4.0,5.0,4.0,6.0,4.0,6.0,5.0,8.0,18,96.0,-3.0
100,2025-12-05,CCC,Pre April 26 - Yellow,91,3.0,5.0,4.0,3.0,5.0,6.0,5.0,6.0,7.0,8.0,4.0,5.0,5.0,4.0,4.0,7.0,6.0,6.0,18,93.0,-2.0
101,2025-12-07,St Neots,Yellow,89,5.0,6.0,6.0,3.0,6.0,5.0,5.0,3.0,5.0,3.0,6.0,7.0,3.0,5.0,6.0,4.0,6.0,6.0,18,90.0,-1.0
102,2025-12-14,CCC,Pre April 26 - Yellow,94,4.0,5.0,5.0,4.0,7.0,6.0,4.0,4.0,5.0,5.0,3.0,5.0,8.0,5.0,4.0,9.0,8.0,6.0,18,97.0,-3.0
103,2025-12-22,CCC,Pre April 26 - Yellow,87,4.0,4.0,6.0,3.0,7.0,4.0,5.0,5.0,6.0,4.0,3.0,4.0,6.0,5.0,4.0,6.0,5.0,6.0,18,87.0,0.0
104,2025-12-23,CCC,Pre April 26 - Yellow,90,4.0,6.0,7.0,3.0,7.0,6.0,3.0,5.0,5.0,5.0,3.0,6.0,5.0,6.0,5.0,5.0,4.0,5.0,18,90.0,0.0
105,2025-12-27,CCC,Pre April 26 - Yellow,94,5.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,7.0,4.0,6.0,5.0,6.0,4.0,7.0,4.0,5.0,18,94.0,0.0
106,2025-12-28,St Neots,Red,89,5.0,6.0,7.0,3.0,5.0,7.0,5.0,4.0,4.0,4.0,6.0,4.0,4.0,4.0,7.0,4.0,5.0,5.0,18,89.0,0.0
107,2025-12-31,CCC,Pre April 26 - Yellow,97,3.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,7.0,5.0,4.0,5.0,7.0,5.0,4.0,7.0,7.0,6.0,18,98.0,-1.0
108,2026-01-01,CCC,White,97,3.0,5.0,6.0,5.0,6.0,6.0,4.0,6.0,4.0,6.0,4.0,7.0,8.0,6.0,4.0,5.0,4.0,7.0,18,96.0,1.0
109,2026-01-04,CCC,Pre April 26 - Yellow,102,7.0,5.0,7.0,4.0,8.0,7.0,6.0,4.0,5.0,4.0,5.0,6.0,8.0,8.0,5.0,6.0,5.0,4.0,18,104.0,-2.0
110,2026-01-17,CCC,Pre April 26 - Yellow,105,4.0,7.0,7.0,3.0,7.0,7.0,5.0,5.0,6.0,5.0,4.0,7.0,8.0,6.0,5.0,7.0,5.0,7.0,18,105.0,0.0
111,2026-01-18,St Neots,Yellow,94,6.0,7.0,6.0,5.0,6.0,4.0,6.0,4.0,6.0,5.0,5.0,4.0,5.0,6.0,5.0,5.0,4.0,5.0,18,94.0,0.0
112,2026-01-25,St Neots,Yellow,89,5.0,8.0,4.0,3.0,5.0,8.0,6.0,3.0,5.0,5.0,4.0,4.0,4.0,6.0,7.0,4.0,5.0,5.0,18,91.0,-2.0
113,2026-02-22,CCC,Pre April 26 - Yellow,92,4.0,5.0,4.0,4.0,6.0,7.0,6.0,5.0,5.0,3.0,4.0,3.0,8.0,5.0,8.0,7.0,5.0,6.0,18,95.0,-3.0
114,2026-03-08,Mid Herts,White,91,6.0,4.0,6.0,8.0,4.0,6.0,5.0,3.0,6.0,5.0,5.0,4.0,6.0,5.0,4.0,5.0,5.0,5.0,18,92.0,-1.0
115,2026-03-15,CCC,Pre April 26 - Yellow,95,4.0,5.0,5.0,5.0,8.0,6.0,5.0,5.0,5.0,5.0,3.0,5.0,7.0,5.0,6.0,7.0,4.0,5.0,18,95.0,0.0
116,2026-03-20,CCC,Pre April 26 - Yellow,82,3.0,5.0,5.0,4.0,5.0,7.0,5.0,4.0,4.0,4.0,2.0,4.0,7.0,5.0,3.0,6.0,5.0,4.0,18,82.0,0.0
117,2026-03-27,CCC,Pre April 26 - Yellow,100,4.0,7.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,7.0,3.0,7.0,8.0,7.0,5.0,7.0,7.0,6.0,18,100.0,0.0
118,2026-03-27,St Neots,Yellow,93,3.0,5.0,5.0,5.0,6.0,5.0,7.0,4.0,5.0,6.0,6.0,5.0,6.0,6.0,5.0,5.0,4.0,5.0,18,93.0,0.0
119,2026-03-29,Royston,Yellow,91,6.0,5.0,5.0,5.0,3.0,3.0,5.0,5.0,7.0,5.0,6.0,3.0,7.0,6.0,5.0,3.0,7.0,5.0,18,91.0,0.0
120,2026-04-03,St Neots,Yellow,100,5.0,5.0,5.0,5.0,8.0,7.0,6.0,3.0,6.0,5.0,5.0,5.0,5.0,7.0,7.0,4.0,5.0,6.0,18,99.0,1.0
121,2026-04-04,CCC,Yellow,93,5.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,6.0,5.0,7.0,5.0,5.0,5.0,7.0,6.0,6.0,18,93.0,0.0
122,2026-04-05,Heydon Grange,Yellow,90,7.0,5.0,5.0,4.0,4.0,5.0,6.0,4.0,5.0,5.0,5.0,6.0,4.0,5.0,4.0,6.0,7.0,3.0,18,90.0,0.0
123,2026-04-06,CCC,Yellow,94,3.0,5.0,4.0,7.0,6.0,6.0,6.0,4.0,4.0,7.0,2.0,4.0,7.0,7.0,4.0,6.0,7.0,5.0,18,94.0,0.0
124,2026-04-13,Burghley Park,Yellow,86,4.0,4.0,3.0,5.0,6.0,4.0,4.0,5.0,4.0,5.0,5.0,5.0,4.0,7.0,5.0,3.0,5.0,8.0,18,86.0,0.0
125,2026-04-17,Wokefield Park,Yellow,88,5.0,,5.0,6.0,5.0,5.0,7.0,6.0,5.0,6.0,4.0,4.0,6.0,6.0,3.0,6.0,3.0,6.0,17,88.0,0.0
126,2026-04-18,CCC,White,96,,,,,,,,,,,,,,,,,,,0,,
127,2026-04-18,CCC,Yellow,93,5.0,5.0,7.0,4.0,4.0,7.0,5.0,4.0,5.0,5.0,4.0,6.0,5.0,7.0,4.0,6.0,5.0,5.0,18,93.0,0.0
128,2026-04-24,The Links - Newmarket,Yellow,88,6.0,5.0,5.0,6.0,6.0,6.0,5.0,5.0,3.0,3.0,4.0,4.0,5.0,5.0,6.0,4.0,5.0,5.0,18,88.0,0.0
129,2026-04-29,St Neots,White,98,4.0,7.0,4.0,4.0,8.0,7.0,5.0,5.0,5.0,5.0,7.0,5.0,4.0,7.0,7.0,4.0,6.0,4.0,18,98.0,0.0
130,2026-05-01,CCC,Yellow,92,3.0,6.0,6.0,4.0,7.0,6.0,5.0,5.0,5.0,4.0,3.0,6.0,6.0,5.0,5.0,4.0,7.0,5.0,18,92.0,0.0
131,2026-05-02,CCC,White,93,3.0,4.0,8.0,4.0,6.0,5.0,6.0,6.0,4.0,7.0,4.0,5.0,5.0,6.0,5.0,5.0,4.0,7.0,18,94.0,-1.0
132,2026-05-04,CCC,Yellow,95,3.0,6.0,7.0,4.0,6.0,4.0,7.0,4.0,5.0,4.0,4.0,7.0,7.0,6.0,4.0,8.0,6.0,3.0,18,95.0,0.0
133,2026-05-08,CCC,White,91,4.0,,5.0,3.0,,5.0,5.0,6.0,4.0,4.0,3.0,4.0,5.0,5.0,6.0,6.0,7.0,5.0,16,77.0,14.0
134,2026-05-15,CCC,Yellow,90,3.0,4.0,6.0,4.0,5.0,5.0,6.0,4.0,5.0,6.0,4.0,4.0,8.0,4.0,4.0,6.0,5.0,7.0,18,90.0,0.0
135,2026-05-16,Ely City,Yellow,92,6.0,2.0,7.0,6.0,6.0,4.0,4.0,8.0,5.0,5.0,5.0,4.0,5.0,5.0,3.0,6.0,5.0,9.0,18,95.0,-3.0
136,2026-05-17,Batchworth Park,Yellow,95,5.0,4.0,6.0,4.0,5.0,4.0,7.0,7.0,6.0,4.0,7.0,4.0,5.0,6.0,5.0,5.0,7.0,4.0,18,95.0,0.0
137,2026-05-22,CCC,Yellow,91,4.0,6.0,5.0,5.0,6.0,5.0,4.0,4.0,6.0,4.0,4.0,5.0,7.0,5.0,4.0,6.0,6.0,5.0,18,91.0,0.0
138,2026-05-24,St Neots,Yellow,94,7.0,5.0,6.0,4.0,8.0,7.0,6.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,3.0,4.0,7.0,18,94.0,0.0
139,2026-05-24,CCC,White,95,4.0,6.0,4.0,5.0,4.0,6.0,5.0,5.0,5.0,5.0,4.0,6.0,6.0,7.0,7.0,5.0,6.0,5.0,18,95.0,0.0
140,2026-05-25,CCC,Yellow,92,3.0,5.0,7.0,3.0,5.0,6.0,6.0,5.0,4.0,6.0,3.0,5.0,8.0,4.0,4.0,5.0,7.0,6.0,18,92.0,0.0
141,2026-06-07,CCC,Yellow,91,4.0,4.0,7.0,3.0,8.0,6.0,4.0,4.0,5.0,5.0,4.0,6.0,6.0,4.0,4.0,6.0,6.0,5.0,18,91.0,0.0
142,2026-06-13,Bedfordshire,Yellow,94,4.0,6.0,6.0,6.0,5.0,5.0,3.0,6.0,5.0,4.0,5.0,4.0,4.0,8.0,5.0,5.0,5.0,8.0,18,94.0,0.0
143,2026-06-17,CCC,White,95,3.0,7.0,6.0,4.0,7.0,7.0,5.0,6.0,5.0,5.0,3.0,4.0,6.0,7.0,3.0,5.0,6.0,6.0,18,95.0,0.0
144,2026-06-19,CCC,White,95,4.0,5.0,6.0,5.0,6.0,6.0,5.0,7.0,5.0,5.0,2.0,5.0,7.0,6.0,5.0,6.0,5.0,5.0,18,95.0,0.0
145,2026-06-20,Gog Magog - Wandlebury,Yellow,92,6.0,4.0,6.0,6.0,4.0,5.0,4.0,6.0,5.0,4.0,6.0,7.0,5.0,3.0,7.0,4.0,6.0,4.0,18,92.0,0.0
146,2026-06-30,CCC,Yellow,89,4.0,4.0,6.0,4.0,5.0,7.0,5.0,4.0,5.0,6.0,5.0,4.0,7.0,4.0,4.0,5.0,5.0,5.0,18,89.0,0.0
147,2026-07-03,CCC,White,90,,,,,,,,,,,,,,,,,,,0,,
148,2026-07-04,CCC,Yellow,89,,,,,,,,,,,,,,,,,,,0,,
149,2026-07-07,CCC,White,100,5.0,5.0,7.0,5.0,8.0,5.0,6.0,4.0,3.0,7.0,4.0,4.0,5.0,7.0,5.0,7.0,6.0,7.0,18,100.0,0.0
150,2026-07-10,CCC,Yellow,91,4.0,4.0,6.0,6.0,6.0,6.0,4.0,6.0,4.0,4.0,5.0,5.0,4.0,4.0,6.0,6.0,6.0,5.0,18,91.0,0.0
